seq,time,pos_press,neg_press,act_pos_ref,act_neg_ref,pos_ctrl,neg_ctrl,act_pos_press,act_neg_press,act_pos_ctrl1,act_pos_ctrl2,act_neg_ctrl1,act_neg_ctrl2,angle,angle_reference,angular_vel,flowrate1,flowrate2,flowrate3,flowrate4,flowrate5,flowrate6,rtt_ms,loop_dt_ms,loop_hz
1,0.00017952919006347656,136.528564453125,42.89032745361328,101.32499694824219,0.0,0.0,0.0,101.5721206665039,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.323736190795898,17.817901611328125,0.002682209014892578,0.0,-0.04526376724243164,-0.07279515266418457,4.99063,5.296516,188.80335677264074
2,0.02012920379638672,137.83021545410156,40.733375549316406,101.32499694824219,0.0,0.0,0.0,101.47758483886719,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32249641418457,17.81625747680664,0.002682209014892578,0.0,-0.045490264892578125,-0.0733792781829834,4.791322,5.026686,198.9382268954138
3,0.04017949104309082,138.58349609375,38.91383361816406,101.32499694824219,0.0,1.0,1.0,101.0869369506836,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.321518898010254,17.814945220947266,0.002682209014892578,0.0,-0.04565119743347168,-0.07387399673461914,4.676389,5.014034,199.4402112151613
4,0.06027078628540039,139.5804443359375,37.75474166870117,101.32499694824219,0.0,1.0,1.0,101.40057373046875,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.320768356323242,17.81395721435547,0.002682209014892578,0.0,-0.045484304428100586,-0.07417798042297363,4.678198,4.987051,200.51930489581918
5,0.08030009269714355,139.4129638671875,38.072288513183594,101.32499694824219,0.0,1.0,1.0,101.79658508300781,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.31949234008789,17.81231117248535,0.002682209014892578,0.0,-0.045496225357055664,-0.07474422454833984,4.397048,5.062416,197.5341418010689
6,0.10033559799194336,139.43167114257812,38.360347747802734,101.32499694824219,0.0,1.0,1.0,101.79337310791016,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.313674926757812,17.810546875,0.002682209014892578,0.0,-0.04558563232421875,-0.07521510124206543,4.286658,4.845125,206.39302391579164
7,0.1203463077545166,139.00144958496094,38.65765380859375,101.32499694824219,0.0,1.0,1.0,101.39139556884766,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.30101490020752,17.806793212890625,0.002682209014892578,0.0,-0.04611611366271973,-0.07579922676086426,4.438953,5.064912,197.43679653269396
8,0.14031410217285156,138.6681365966797,38.9306526184082,101.32499694824219,0.0,1.0,1.0,101.01982116699219,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.280415534973145,17.800498962402344,0.002682209014892578,0.0,-0.046819448471069336,-0.07600784301757812,4.470168,5.085701,196.6297271506917
9,0.1603071689605713,138.72525024414062,39.17072296142578,101.32499694824219,0.0,1.0,1.0,101.37220764160156,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.251220703125,17.787860870361328,0.002682209014892578,0.0,-0.0474393367767334,-0.07611513137817383,4.295294,4.907158,203.78394174387702
10,0.1803297996520996,138.67266845703125,39.33287811279297,101.32499694824219,0.0,1.0,1.0,101.75951385498047,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.21514892578125,17.771482467651367,0.002682209014892578,0.0,-0.04781484603881836,-0.07623434066772461,4.494227,5.111459,195.63885771166315
11,0.20032525062561035,138.69830322265625,39.533477783203125,101.32499694824219,0.0,1.0,1.0,101.7288818359375,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.173294067382812,17.748260498046875,0.002682209014892578,0.0,-0.048166513442993164,-0.07635951042175293,4.186434,4.806184,208.06527590287845
12,0.22030305862426758,138.44509887695312,39.74406051635742,101.32499694824219,0.0,1.0,1.0,101.39258575439453,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.129127502441406,17.722320556640625,0.002682209014892578,0.0,-0.04824399948120117,-0.07663369178771973,4.526852,5.143223,194.43061286667913
13,0.24033522605895996,138.28941345214844,39.92742156982422,101.32499694824219,0.0,1.0,1.0,101.15202331542969,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.080490112304688,17.69517707824707,0.002682209014892578,0.0,-0.04836916923522949,-0.07718205451965332,4.387179,4.995572,200.1772769965081
14,0.26036596298217773,138.30323791503906,40.02589416503906,101.32499694824219,0.0,1.0,1.0,101.27015686035156,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.043880462646484,17.67287254333496,0.002682209014892578,0.0,-0.04821419715881348,-0.07770657539367676,4.02196,4.794581,208.5687988168309
15,0.28035664558410645,138.41970825195312,40.18531799316406,101.32499694824219,0.0,1.0,1.0,101.85810089111328,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.979841232299805,17.633092880249023,0.002682209014892578,0.0,-0.04783272743225098,-0.07809996604919434,4.455314,5.109843,195.70072896564534
16,0.30033302307128906,138.12847900390625,40.329586029052734,101.32499694824219,0.0,1.0,1.0,101.68548583984375,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.928474426269531,17.601215362548828,0.002682209014892578,0.0,-0.04755258560180664,-0.07789731025695801,4.273922,4.952884,201.90256828142955
17,0.3203263282775879,137.95468139648438,40.468814849853516,101.32499694824219,0.0,1.0,1.0,101.28315734863281,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.877106666564941,17.569351196289062,0.002682209014892578,0.0,-0.04769563674926758,-0.07742047309875488,4.450188,5.082789,196.74237903639124
18,0.3403315544128418,138.02642822265625,40.544944763183594,101.32499694824219,0.0,1.0,1.0,101.63410949707031,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.83867359161377,17.54549789428711,0.002682209014892578,0.0,-0.04768967628479004,-0.07697939872741699,4.25645,4.996446,200.14226111920354
19,0.36033105850219727,137.9868621826172,40.680877685546875,101.32499694824219,0.0,1.0,1.0,101.19112396240234,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.786949157714844,17.513418197631836,0.002682209014892578,0.0,-0.04774332046508789,-0.0764012336730957,4.334946,5.082139,196.76754217072772
20,0.3803215026855469,137.9767303466797,40.782691955566406,101.32499694824219,0.0,1.0,1.0,101.24238586425781,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.735939025878906,17.48175621032715,0.002682209014892578,0.0,-0.04782676696777344,-0.0757753849029541,4.287234,4.992867,200.2857276190213
21,0.40030670166015625,138.27737426757812,40.84783935546875,101.32499694824219,0.0,1.0,1.0,101.67607116699219,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.684572219848633,17.449892044067383,0.002682209014892578,0.0,-0.048279762268066406,-0.07547140121459961,4.400227,5.114803,195.51095125266798
22,0.4203481674194336,137.7933807373047,40.9581413269043,101.32499694824219,0.0,1.0,1.0,101.39056396484375,101.08501434326172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.620269775390625,17.409992218017578,0.002682209014892578,0.0,-0.048607587814331055,-0.07554888725280762,4.168413,4.925543,203.02330118730055
